,,,,Delay,,,,Loss,,,,Jitter,,,
File,Subnet,Num UE,Num RBs,Delay (mean),Delay (std),Delay (min),Delay (max),Loss (mean),Loss (std),Loss (min),Loss (max),Jitter (mean),Jitter (std),Jitter (min),Jitter (max)
D30sec_Rbs1_UE5.csv,VOIP,5,1,0.009391132,0.005010379,0.00365429,0.01740203,0.058631665,0.005252041,0.051128494,0.064230178,0.006433898,0.003025273,0.00372614,0.011560872
D30sec_Rbs2_UE5.csv,VOIP,5,2,0.002698089,0.001444484,0.000905798,0.004284316,0.011339727,0.002939815,0.008758702,0.016274796,0.006249889,0.001354634,0.003907689,0.007149699
D30sec_Rbs3_UE5.csv,VOIP,5,3,0.002144012,0.000479306,0.001548233,0.002771516,0.005947427,0.001709483,0.003632588,0.008454871,0.010143263,0.001139525,0.008449786,0.011663524
D30sec_Rbs4_UE5.csv,VOIP,5,4,0.00230411,0.001035815,0.001353885,0.003993008,0.006693803,0.001934662,0.004626354,0.009330365,0.011686591,0.002650668,0.00902127,0.016085311
D30sec_Rbs5_UE5.csv,VOIP,5,5,0.001546282,0.000148744,0.001365847,0.001771493,0.00477253,0.001803023,0.002121051,0.006660815,0.009940811,0.00110828,0.008726408,0.011153984
D30sec_Rbs6_UE5.csv,VOIP,5,6,0.001789642,0.000609508,0.001081839,0.002582299,0.006365069,0.002313717,0.003542793,0.009866145,0.011320542,0.002693679,0.00727722,0.0144437
D30sec_Rbs7_UE5.csv,VOIP,5,7,0.001763363,0.000716857,0.000777047,0.002479694,0.005396518,0.0018668,0.002956393,0.008026083,0.011400246,0.002355054,0.007645677,0.0134554
D30sec_Rbs8_UE5.csv,VOIP,5,8,0.001759008,0.001024153,0.000854212,0.003498802,0.005757405,0.002111686,0.003700473,0.009268446,0.010188118,0.001903698,0.00793893,0.012408611
D30sec_Rbs1_UE10.csv,VOIP,10,1,0.02548413,0.00709134,0.018431363,0.038267811,0.1000519,0.00709189,0.08906195,0.112934073,0.025646118,0.010845746,0.012344821,0.049482638
D30sec_Rbs2_UE10.csv,VOIP,10,2,0.003801842,0.000881407,0.002346109,0.004958766,0.03030135,0.00470648,0.021651129,0.036907083,0.005217335,0.001227547,0.003797668,0.00784078
D30sec_Rbs3_UE10.csv,VOIP,10,3,0.003166406,0.001288331,0.001659842,0.005980143,0.01378013,0.002814494,0.009839618,0.018193912,0.007656528,0.00247123,0.00511659,0.013370376
